stock_id,suspension_hit
600803,201
600372,162
601211,134
601298,134
600027,134
600150,134
600039,134
000983,134
600900,134
000425,115
600009,114
000301,84
000408,68
000063,68
688126,67
000630,67
000975,67
603019,67
601377,67
601916,67
002142,67
600066,67
600584,67
600482,67
601236,67
601088,67
601059,67
600958,67
002736,67
301269,67
001979,67
600030,67
688041,67
002180,67
002252,67
688981,67
601995,66
600460,60
688012,56
002049,48
300442,26
600845,26
600438,15
001289,1
300979,1
688223,1
600515,1
600938,1
600905,1
601136,1
601825,1
601728,1
605499,1
605117,1
601868,1
000792,1
688082,0
688047,0
000157,0
688009,0
002459,0
002422,0
002415,0
002371,0
002352,0
002311,0
002304,0
002241,0
002236,0
002230,0
000625,0
000617,0
000596,0
000568,0
000538,0
000333,0
300014,0
003816,0
002938,0
002920,0
002916,0
002714,0
002709,0
002648,0
002601,0
002600,0
002594,0
002493,0
002475,0
002466,0
002463,0
002460,0
300498,0
300433,0
300418,0
300413,0
300408,0
300394,0
300347,0
300316,0
300308,0
300274,0
300124,0
300122,0
300059,0
300033,0
300015,0
600011,0
600010,0
600000,0
302132,0
301236,0
300999,0
300896,0
300832,0
300782,0
300760,0
300759,0
300750,0
300661,0
300628,0
300502,0
000999,0
000977,0
600061,0
600050,0
600048,0
600036,0
600031,0
600029,0
600028,0
600026,0
600025,0
600023,0
600019,0
600018,0
600016,0
600015,0
600115,0
600111,0
600104,0
600089,0
600085,0
002179,0
002129,0
002074,0
002050,0
002028,0
002027,0
002001,0
001965,0
001391,0
600415,0
600406,0
600377,0
600362,0
600346,0
600332,0
600309,0
600276,0
600233,0
600219,0
600196,0
600188,0
600183,0
600176,0
600161,0
600160,0
600741,0
600690,0
600674,0
600660,0
600600,0
600588,0
600585,0
600570,0
600547,0
600519,0
000786,0
600489,0
688036,0
000338,0
600436,0
600426,0
600999,0
600989,0
600941,0
000001,0
600926,0
600919,0
600918,0
603259,0
600893,0
600887,0
600886,0
600875,0
000776,0
600809,0
600795,0
600760,0
601229,0
601225,0
601186,0
601169,0
601166,0
601138,0
000768,0
601127,0
601117,0
601100,0
601077,0
601066,0
601058,0
601021,0
601012,0
601009,0
601658,0
601633,0
601628,0
601618,0
601607,0
601601,0
601600,0
601398,0
601390,0
601360,0
601336,0
601328,0
601319,0
601318,0
601288,0
601238,0
601857,0
601838,0
000725,0
601818,0
601816,0
601808,0
601800,0
601799,0
601788,0
601766,0
000708,0
601698,0
601689,0
601688,0
601669,0
601668,0
688008,0
000661,0
000651,0
603993,0
601939,0
601919,0
601901,0
601899,0
601898,0
601888,0
601881,0
601878,0
601877,0
601872,0
688256,0
601865,0
000002,0
688506,0
688472,0
688396,0
688303,0
688271,0
603986,0
603833,0
603806,0
603799,0
603501,0
603392,0
603369,0
603296,0
603288,0
603260,0
688599,0
603195,0
601998,0
688187,0
601985,0
000963,0
000938,0
000895,0
000876,0
000858,0
000807,0
000800,0
688169,0
000166,0
688111,0
000100,0
