Stkcd,0
600515,159
000725,111
000100,100
000425,88
600115,87
000596,86
600760,85
000625,85
000408,84
000001,83
600372,79
600674,76
600803,76
600030,76
000157,75
600886,75
000975,75
600795,71
000807,71
600016,71
000999,71
600010,69
600161,67
000792,66
000002,66
600584,65
000063,65
600219,64
000630,64
000768,63
000895,63
600893,62
600089,62
000617,61
600362,61
600150,60
600039,60
600018,60
600875,59
600031,59
600026,59
000301,58
000651,58
000776,58
000800,58
000708,57
600415,57
600489,57
600438,56
600183,56
600887,55
600547,55
600196,54
000977,54
000786,54
000876,53
600406,53
600176,53
000568,53
600690,53
600029,52
600900,52
000661,52
601607,52
002129,52
002049,51
600104,51
600482,51
000858,50
600309,50
600066,50
000538,50
002027,49
600436,49
600011,48
600346,48
600585,48
600160,48
000983,48
600028,47
600036,47
002050,47
600332,47
600426,46
600588,46
600570,46
600015,46
600061,44
600019,44
600000,44
600460,44
600188,44
000963,44
000938,43
002001,43
600050,43
600845,42
002028,41
600660,40
600111,39
600809,38
600276,38
600600,38
600027,37
600233,35
600377,35
601111,34
600741,34
002180,34
600519,33
600009,33
601600,32
002074,32
000338,28
601919,27
600085,26
600048,25
002252,25
601318,25
601899,23
002230,21
601169,21
601006,21
002241,21
002142,20
601398,20
002236,19
002466,19
601699,19
601998,19
601872,18
601988,17
601788,17
601766,17
002311,17
601328,16
601166,16
300014,16
002460,15
300059,15
002304,15
601009,15
601808,15
601628,15
601186,15
601390,14
002459,14
601857,13
002352,13
300015,13
601898,12
002179,12
601377,12
002600,12
601901,12
002415,12
601058,11
601818,11
601939,11
601888,10
300124,10
000333,10
601088,10
600999,10
601799,10
300122,10
002371,10
300274,9
601012,9
002475,9
300347,9
002493,9
002601,9
300033,9
601601,9
002422,9
601877,8
601669,8
601618,8
002463,8
603019,8
603986,8
300316,7
601117,7
601668,7
601127,7
603799,6
002594,6
002648,6
601633,6
300308,6
603993,6
603501,6
002709,5
601688,5
300413,5
001979,4
603806,4
300433,4
601100,4
601288,4
601336,4
601238,3
603369,3
000166,3
601211,3
600958,3
601021,3
300418,3
300442,3
300394,3
002714,3
002736,3
601298,3
688012,2
300502,2
688041,2
300408,2
300498,2
600919,2
002916,2
601995,2
601916,2
601800,2
601236,2
601059,2
603833,1
300759,1
300760,1
300832,1
605499,1
688009,1
688036,1
688126,1
605117,1
300979,1
301269,1
600023,1
300782,1
600025,1
603259,1
603288,1
002920,1
601136,1
601138,1
601066,1
601077,1
600938,1
600926,1
600918,1
600989,1
600905,1
300750,1
003816,1
002938,1
300628,1
300661,1
001289,1
601229,1
601698,1
601689,1
601360,1
601319,1
601225,1
601816,1
601728,1
601838,1
601881,1
601868,1
601825,1
601985,1
603195,1
688223,1
688256,1
688981,1
