split,0,1,total,ratio_label_0,ratio_label_1
test,17646,14165,31811,0.5547137782528057,0.44528622174719434
train,118688,103511,222199,0.5341518188650713,0.4658481811349286
val,16509,17149,33658,0.4904926020559748,0.5095073979440252
