stock_id,0
688599,1010
000001,1010
000002,1010
688396,1010
603993,1010
603986,1010
603833,1010
603806,1010
603799,1010
603501,1010
603392,1010
603369,1010
603288,1010
603260,1010
603259,1010
603195,1010
000999,1010
000977,1010
000963,1010
000938,1010
000895,1010
000876,1010
000858,1010
000807,1010
000800,1010
000786,1010
000776,1010
000768,1010
000725,1010
002236,1010
002230,1010
002179,1010
002129,1010
002074,1010
002050,1010
002028,1010
002027,1010
002001,1010
001965,1010
002600,1010
002594,1010
002493,1010
002475,1010
002466,1010
002463,1010
002460,1010
002459,1010
002422,1010
002415,1010
002371,1010
002352,1010
002311,1010
002304,1010
002241,1010
300274,1010
300124,1010
300122,1010
300059,1010
300033,1010
300015,1010
300014,1010
003816,1010
002938,1010
002920,1010
002916,1010
002714,1010
002709,1010
002648,1010
002601,1010
300760,1010
300759,1010
300750,1010
300661,1010
300628,1010
300502,1010
300498,1010
300433,1010
300418,1010
300413,1010
300408,1010
300394,1010
300347,1010
300316,1010
300308,1010
601998,1010
601985,1010
601939,1010
601919,1010
601901,1010
601899,1010
601898,1010
601888,1010
601881,1010
601878,1010
601877,1010
601872,1010
601865,1010
600019,1010
600018,1010
600016,1010
600015,1010
600011,1010
600010,1010
600000,1010
300999,1010
300896,1010
300832,1010
300782,1010
600089,1010
600085,1010
600061,1010
600050,1010
600036,1010
600031,1010
600029,1010
600028,1010
600026,1010
600025,1010
600023,1010
600346,1010
600332,1010
600309,1010
600276,1010
600233,1010
600219,1010
600196,1010
600188,1010
600183,1010
600176,1010
600161,1010
600160,1010
600115,1010
600111,1010
600104,1010
600570,1010
600547,1010
600519,1010
600489,1010
600436,1010
600426,1010
600415,1010
600406,1010
600377,1010
600362,1010
601857,1010
601838,1010
601818,1010
601816,1010
601808,1010
601800,1010
601799,1010
601788,1010
601766,1010
601698,1010
601689,1010
601688,1010
601669,1010
601668,1010
600893,1010
600887,1010
600886,1010
600875,1010
600809,1010
600795,1010
600760,1010
600741,1010
600690,1010
600674,1010
600660,1010
600600,1010
600588,1010
600585,1010
601066,1010
601058,1010
601021,1010
601012,1010
601009,1010
600999,1010
600989,1010
600926,1010
600919,1010
600918,1010
601288,1010
601238,1010
601229,1010
601225,1010
601186,1010
601169,1010
601166,1010
601138,1010
601127,1010
601117,1010
601100,1010
601077,1010
601658,1010
601633,1010
601628,1010
601618,1010
601607,1010
601601,1010
601600,1010
601398,1010
601390,1010
601360,1010
601336,1010
601328,1010
601319,1010
601318,1010
000100,1010
688256,1010
688169,1010
688111,1010
688036,1010
688009,1010
688008,1010
000708,1010
000661,1010
000651,1010
000625,1010
000617,1010
000596,1010
000568,1010
000538,1010
000338,1010
000333,1010
000166,1010
000157,1010
605117,997
300979,993
600438,985
600845,983
002736,983
603019,979
300442,978
600482,977
605499,973
601088,972
600905,963
688981,960
600150,958
002049,952
600460,949
688012,945
002180,942
000063,942
600066,942
002252,940
000975,938
600584,938
600958,937
601236,937
600030,937
601377,937
002142,937
601916,937
688303,935
688126,933
001979,933
000630,933
601995,924
601211,923
000792,921
000301,915
601825,914
601728,913
000408,913
688187,902
600048,897
600027,891
601868,888
600009,885
601298,882
000425,872
000983,866
600900,865
600039,865
688082,857
600372,830
600941,824
001289,810
688223,808
600803,798
301236,780
600938,754
688047,713
688271,672
688041,647
600515,638
301269,611
601136,589
688506,580
601059,480
688472,479
603296,439
001391,168
302132,140
