epoch,train_loss,train_acc,val_loss,val_acc,val_f1,train_loss_cls,train_loss_aux,train_loss_div,train_loss_cons,train_loss_concat
1,0.3693013444303133,0.9100081810744478,0.10103860090789556,0.9633251833740831,0.9629899351675179,0.2146849100014999,0.34701469414624914,0.9396129199812905,0.10884957006168132,0.2007744702146591
2,0.17179549933455118,0.9599127352058904,0.06319291377553948,0.9767726161369193,0.9766815838658897,0.0984778600385022,0.17768058589199176,0.8973463216203742,0.06915952397329071,0.09056471907900697
3,0.1206071809653466,0.9754567766566675,0.06893705997518139,0.9706601466992665,0.9704650357715253,0.06813210613247417,0.13551504004828963,0.8649608911237828,0.06060891861884868,0.06187127831889525
4,0.09508287255254272,0.9828197436596673,0.04963024761095133,0.9779951100244498,0.9780908459562804,0.052486171069719305,0.11167437094562152,0.8325561902683634,0.05530459819428109,0.049478907150299956
5,0.03938629393134889,0.9956367602945186,0.04425533098671904,0.9828850855745721,0.9829496414494051,0.020123463865132855,0.07207278519937932,0.8021297830796742,0.044481285773817054,0.015124572281232233
6,0.031185981069082196,0.996727570220889,0.0450046553244031,0.9853300733496333,0.9852889144820686,0.014760483395616072,0.06658015196992098,0.7781254944341007,0.045610782235986795,0.011052517706103153
7,0.026303581364416267,0.996727570220889,0.09275610898925939,0.9633251833740831,0.9631393644927896,0.011790570355801942,0.0602278826265048,0.7610042198074264,0.04436117623947136,0.00918320963846965
8,0.027816277819695544,0.9975456776656667,0.0505383199405023,0.9792176039119804,0.9791817376225906,0.013313214482870619,0.05575862010208956,0.7567041596112799,0.040322363725069726,0.010665645785865945
9,0.015249746430026256,0.9991818925552223,0.0601784958373778,0.9792176039119804,0.9792646354128064,0.0057258378471269945,0.046716544550102185,0.7402920688502237,0.037106501808649585,0.0035485930610298596
10,0.029525945503300222,0.9961821652577039,0.044703588241176574,0.9841075794621027,0.9840912986199071,0.013842173195313251,0.050356363110144714,0.7316296440819677,0.03789580515340755,0.014744803253461176
11,0.010791265623370211,0.9997272975184074,0.04479769856411699,0.9779951100244498,0.9779951100244498,0.003713308106031028,0.03740185996573921,0.7264349388595105,0.0311772126835505,0.0016882681168028757
12,0.010027395872011138,0.9994545950368149,0.05315393307990586,0.9853300733496333,0.9853099275239801,0.003771222232266212,0.030203438840424507,0.7129689238036983,0.024646311508959455,0.0024654628706307774
13,0.010830385685002598,0.9989091900736297,0.06117218966719431,0.9755501222493888,0.9755663737259878,0.0040506732857391575,0.025895148314553904,0.7045224592605728,0.021704911693975325,0.004922683595455711
