epoch,train_loss,train_acc,val_loss,val_acc,val_f1,train_loss_cls,train_loss_aux,train_loss_div,train_loss_cons
1,0.44481046516107936,0.8903736023997818,0.11242508737047027,0.9645476772616137,0.9647698269340159,0.32267102473985604,0.33446263844355073,0.9149705254482189,0.07002475045119542
2,0.2905489486132456,0.953640578129261,0.08262602800006971,0.9792176039119804,0.9791963135798785,0.2197456361610622,0.17093690988646562,0.8616287895532405,0.04579321274095509
3,0.25705100433814093,0.9648213798745569,0.09138990291974947,0.9657701711491442,0.9659572750122837,0.19482512865952065,0.14374956737402222,0.8038712833406881,0.06047154467360896
4,0.23378781760977502,0.971911644395964,0.07080605556883264,0.9865525672371638,0.9865480244983154,0.1783367786195839,0.12235398230328039,0.768166851178157,0.06763008791259469
5,0.22258014668958662,0.9770929915462231,0.09268082354062927,0.9718826405867971,0.97199688276326,0.17049683928327142,0.11224403435921584,0.7298044783236189,0.07628010394407743
6,0.2101553111358205,0.9828197436596673,0.07989343534471936,0.9767726161369193,0.9766815838658897,0.16119600080292978,0.10252734093452169,0.6989111087937949,0.08445769359865857
7,0.19512758164874597,0.9855467684755931,0.06678190598751631,0.9865525672371638,0.9865293596381469,0.15032588312402875,0.09052164000688862,0.6629493876149812,0.08772437741361784
8,0.19220687595673794,0.986910280883556,0.07378744939683703,0.9792176039119804,0.9791817376225906,0.14775334523326863,0.08976235010495848,0.6344665686018564,0.09670986083570085
9,0.18390006477936172,0.9904554131442597,0.0736174554288533,0.9755501222493888,0.9756278489860912,0.14340659343102402,0.07842035806769079,0.608562094885028,0.09592242355051826
10,0.1770198079507228,0.9926370329970002,0.0739087992163334,0.9792176039119804,0.9791963135798785,0.13856844195625195,0.0734037341682567,0.5861712508543591,0.09413639292271286
11,0.17146987317854812,0.9942732478865558,0.06379064083245098,0.9841075794621027,0.9840912986199071,0.13504297856596012,0.06766181751142934,0.5649739030859339,0.0965774019899211
12,0.16445720227466215,0.9964548677392965,0.07049074918396024,0.9767726161369193,0.9768105815434336,0.1312743500586196,0.05862088380561786,0.5409620681867503,0.09554690043262899
13,0.15990426152627604,0.9970002727024816,0.07376686141149921,0.9779951100244498,0.9779801622956702,0.1282832542353571,0.054532617869991876,0.5213278550720682,0.09669328538865006
14,0.15688196682039254,0.9980910826288519,0.07804944506484314,0.9743276283618582,0.9744014944687024,0.1265969566629048,0.051136567414046666,0.5027191662434046,0.09779312756224422
15,0.16030485483908932,0.9961821652577039,0.0718450657567943,0.9767726161369193,0.9768251807554894,0.129319380033169,0.05461432935046766,0.4841316015235338,0.09837087996167905
16,0.15823666768451786,0.9964548677392965,0.07911830153179635,0.9743276283618582,0.9743530844997964,0.12924216442645198,0.049727488343685435,0.4687536382889728,0.09402367233100366
17,0.15711528357836607,0.9964548677392965,0.08024334543200169,0.9767726161369193,0.976839447376445,0.12880116881142853,0.04789622371418456,0.458632425201144,0.09545198628053633
18,0.15117197985833758,0.9980910826288519,0.08460536713923685,0.9731051344743277,0.9730491384299987,0.12522041794183894,0.04121074365324437,0.44444603771418295,0.09398834588971748
19,0.14701071688775832,0.9994545950368149,0.09221366426764024,0.9669926650366748,0.9670253943568811,0.12195701639716294,0.03933907674997842,0.4286694864274892,0.09357175192782233
