Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,186.9499969482422,187.25,181.10000610351562,184.4199981689453,174.80320739746094,36862400
2020-02-21,183.1699981689453,183.5,177.25,178.58999633789062,169.2771759033203,48572600
2020-02-24,167.77000427246094,174.5500030517578,163.22999572753906,170.88999938964844,161.97874450683594,68311100
2020-02-25,174.1999969482422,174.83999633789062,167.64999389648438,168.07000732421875,159.30580139160156,68073300
2020-02-26,169.7100067138672,173.25999450683594,168.2100067138672,170.1699981689453,161.2962188720703,56206100
2020-02-27,163.32000732421875,167.02999877929688,157.97999572753906,158.17999267578125,149.9314727783203,93174900
2020-02-28,152.41000366210938,163.7100067138672,152.0,162.00999450683594,153.561767578125,97012700
2020-03-02,165.30999755859375,172.9199981689453,162.30999755859375,172.7899932861328,163.77964782714844,71030800
2020-03-03,173.8000030517578,175.0,162.25999450683594,164.50999450683594,155.931396484375,71677000
2020-03-04,168.49000549316406,170.6999969482422,165.6199951171875,170.5500030517578,161.6564178466797,49814400
2020-03-05,166.0500030517578,170.8699951171875,165.69000244140625,166.27000427246094,157.599609375,47817300
2020-03-06,162.61000061035156,163.11000061035156,156.0,161.57000732421875,153.14476013183594,72821100
2020-03-09,151.0,157.75,150.0,150.6199951171875,142.76571655273438,70419300
2020-03-10,158.16000366210938,161.02999877929688,152.5800018310547,160.9199981689453,152.5286407470703,65354400
2020-03-11,157.1300048828125,157.6999969482422,151.14999389648438,153.6300048828125,145.61878967285156,56371600
2020-03-12,145.3000030517578,153.47000122070312,138.5800018310547,139.05999755859375,131.80857849121094,93226400
2020-03-13,147.5,161.91000366210938,140.72999572753906,158.8300018310547,150.547607421875,92727400
2020-03-16,140.0,149.35000610351562,135.0,135.4199981689453,128.35836791992188,87905900
2020-03-17,140.0,147.5,135.0,146.57000732421875,138.9269256591797,81059800
2020-03-18,138.0,146.0,135.02000427246094,140.39999389648438,133.0786895751953,81593200
2020-03-19,142.77000427246094,150.14999389648438,139.0,142.7100067138672,135.2682342529297,85922700
2020-03-20,146.0,147.10000610351562,135.86000061035156,137.35000610351562,130.18772888183594,84866200
2020-03-23,137.00999450683594,140.57000732421875,132.52000427246094,135.97999572753906,128.88909912109375,78975200
2020-03-24,143.75,149.60000610351562,141.27000427246094,148.33999633789062,140.60462951660156,82516700
2020-03-25,148.91000366210938,154.3300018310547,144.44000244140625,146.9199981689453,139.25865173339844,75638200
2020-03-26,148.39999389648438,156.66000366210938,148.3699951171875,156.11000061035156,147.96945190429688,64568100
2020-03-27,151.75,154.88999938964844,149.1999969482422,149.6999969482422,141.89364624023438,57042300
2020-03-30,152.44000244140625,160.60000610351562,150.00999450683594,160.22999572753906,151.8745880126953,63420300
2020-03-31,159.39999389648438,164.77999877929688,156.55999755859375,157.7100067138672,149.48599243164062,77927200
2020-04-01,153.0,157.75,150.82000732421875,152.11000061035156,144.177978515625,57969900
2020-04-02,151.86000061035156,155.47999572753906,150.36000061035156,155.25999450683594,147.16380310058594,49630700
2020-04-03,155.10000610351562,157.3800048828125,152.19000244140625,153.8300018310547,145.80833435058594,41243300
2020-04-06,160.32000732421875,166.5,157.5800018310547,165.27000427246094,156.65184020996094,67111700
2020-04-07,169.58999633789062,170.0,163.25999450683594,163.49000549316406,154.96461486816406,62769000
2020-04-08,165.6699981689453,166.6699981689453,163.5,165.1300048828125,156.5191192626953,48318200
2020-04-09,166.36000061035156,167.3699951171875,163.3300018310547,165.13999938964844,156.52857971191406,51385100
2020-04-13,164.35000610351562,165.57000732421875,162.3000030517578,165.50999450683594,156.87924194335938,41905300
