Date,Open,High,Low,Close,Adj Close,Volume
2020-02-20,76.0999984741211,76.48200225830078,75.34100341796875,75.90750122070312,75.28936767578125,21932000
2020-02-21,75.40149688720703,75.61074829101562,74.02200317382812,74.25550079345703,73.65083312988281,34634000
2020-02-24,71.30549621582031,71.84850311279297,70.56950378417969,71.07949829101562,70.50068664550781,57342000
2020-02-25,71.6500015258789,71.90699768066406,69.12000274658203,69.42250061035156,68.85719299316406,49566000
2020-02-26,69.80699920654297,70.78500366210938,68.94999694824219,69.65899658203125,69.09175872802734,44048000
2020-02-27,68.10299682617188,68.58519744873047,65.8584976196289,65.90450286865234,65.36784362792969,59566000
2020-02-28,63.875,67.05699920654297,63.54999923706055,66.96649932861328,66.42118835449219,75782000
2020-03-02,67.58049774169922,69.54350280761719,66.34075164794922,69.45549774169922,68.8899154663086,48630000
2020-03-03,69.97100067138672,70.50749969482422,66.5999984741211,67.06950378417969,66.52335357666016,48046000
2020-03-04,67.96150207519531,69.40450286865234,67.15550231933594,69.32599639892578,68.76148223876953,38266000
2020-03-05,67.51000213623047,67.94550323486328,65.25499725341797,65.9520034790039,65.41495513916016,51226000
2020-03-06,63.85300064086914,65.31099700927734,63.0525016784668,64.92050170898438,64.391845703125,53212000
2020-03-09,60.26499938964844,62.737998962402344,60.0,60.77799987792969,60.283077239990234,67308000
2020-03-10,63.0,64.05750274658203,60.938499450683594,64.01950073242188,63.49818420410156,52228000
2020-03-11,62.48500061035156,63.04800033569336,59.80350112915039,60.77050018310547,60.275638580322266,52170000
2020-03-12,56.29999923706055,59.69350051879883,55.665000915527344,55.74549865722656,55.291561126708984,84534000
2020-03-13,58.95000076293945,60.987998962402344,55.85715103149414,60.98649978637695,60.48988342285156,74002000
2020-03-16,54.79999923706055,57.61334991455078,53.72200012207031,54.21649932861328,53.77500915527344,85048000
2020-03-17,54.65549850463867,56.542999267578125,52.800498962402344,55.9900016784668,55.53407287597656,77230000
2020-03-18,52.82550048828125,55.32500076293945,51.86399841308594,54.84000015258789,54.3934326171875,84668000
2020-03-19,54.65250015258789,57.89849853515625,53.005401611328125,55.76449966430664,55.310401916503906,73022000
2020-03-20,56.7859992980957,57.199501037597656,53.27450180053711,53.61600112915039,53.17939758300781,72036000
2020-03-23,53.066001892089844,53.566001892089844,50.67679977416992,52.83100128173828,52.40080261230469,80882000
2020-03-24,55.188499450683594,56.75,54.53099822998047,56.722999572753906,56.261104583740234,66890000
2020-03-25,56.32350158691406,57.44499969482422,54.300498962402344,55.1245002746582,54.67561721801758,81630000
2020-03-26,55.59000015258789,58.49850082397461,54.67649841308594,58.087501525878906,57.6144905090332,71434000
2020-03-27,56.28350067138672,57.53350067138672,55.295501708984375,55.535499572753906,55.08326721191406,64170000
2020-03-30,56.25199890136719,57.58150100708008,54.82400131225586,57.340999603271484,56.87406921386719,51482000
2020-03-31,57.3650016784668,58.765499114990234,56.90700149536133,58.140499114990234,57.667057037353516,49728000
2020-04-01,56.099998474121094,56.484500885009766,54.872501373291016,55.28099822998047,54.830841064453125,46884000
2020-04-02,54.91299819946289,56.34299850463867,54.81999969482422,56.04199981689453,55.58564758300781,39298000
2020-04-03,55.950748443603516,56.176998138427734,53.990501403808594,54.89400100708008,54.446990966796875,46268000
2020-04-06,56.900001525878906,59.733001708984375,56.547000885009766,59.34600067138672,58.862735748291016,53294000
2020-04-07,61.04999923706055,61.25,59.11149978637695,59.32550048828125,58.8424072265625,47746000
2020-04-08,60.32500076293945,60.95349884033203,59.40800094604492,60.513999938964844,60.0212287902832,39502000
2020-04-09,61.20399856567383,61.278499603271484,59.83675003051758,60.5724983215332,60.07925033569336,43508000
