epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.3477369774776029,0.8647395691300791,0.2578467089855875,0.9303178484107579,0.9295903951914848
2,0.2964151202332008,0.9070084537769294,0.24130545144850585,0.9474327628361858,0.9474150048570509
3,0.2825008723239727,0.9154622307062994,0.23670504863367103,0.9462102689486552,0.9463486127947512
4,0.28182294311366096,0.9132806108535587,0.2375937870050118,0.9364303178484108,0.935902998398221
5,0.27667660915724807,0.9181892555222253,0.2295749413719387,0.9535452322738386,0.9538720485579578
6,0.282697899837503,0.9119170984455959,0.22965295375996522,0.9474327628361858,0.9474150048570509
7,0.26796209892623263,0.9203708753749659,0.23366166990077292,0.9376528117359413,0.9368333024908657
8,0.28292487287410834,0.9070084537769294,0.22575944166603182,0.9449877750611247,0.944730297296374
9,0.2686926022046003,0.9214616853013362,0.22257512651183495,0.9511002444987775,0.9511327474519755
10,0.2683854911741522,0.919007362967003,0.22421556612827376,0.9535452322738386,0.9536063132720489
11,0.26571925062882273,0.9236433051540769,0.22063182498394424,0.9523227383863081,0.9524306341823204
12,0.2637774655628438,0.9228251977092992,0.22188524289789877,0.9511002444987775,0.9513406051090754
13,0.2596354254884358,0.9241887101172621,0.23254531570926565,0.9388753056234719,0.9382102472324628
14,0.26396898105679595,0.9211889828197437,0.22733031180493699,0.9425427872860636,0.9420901375833771
15,0.25906124819128007,0.9282792473411509,0.2161041956148987,0.9498777506112469,0.9501918242860227
16,0.26024930942666474,0.9266430324515953,0.2152507589323888,0.9547677261613692,0.9549515070539399
17,0.2745597740919219,0.9209162803381511,0.21630253979804173,0.9511002444987775,0.9512846898554432
18,0.26414693186970345,0.9209162803381511,0.23123035869563413,0.9388753056234719,0.9381000343425956
19,0.2530863556105726,0.9301881647122989,0.2126626006912777,0.9559902200488998,0.9561562208698989
20,0.25351402848625754,0.9323697845650395,0.21740361858696694,0.9547677261613692,0.9550271899059462
21,0.24543297684969614,0.9304608671938914,0.21582355920434873,0.9535452322738386,0.9537735748536216
22,0.2531406856831524,0.9310062721570767,0.21639821253953762,0.9498777506112469,0.9497912495603656
23,0.26203710398298213,0.9260976274884102,0.21694268770789168,0.9535452322738386,0.9534814371592704
24,0.24846232891537884,0.9310062721570767,0.22077139825867556,0.9559902200488998,0.9563216436170413
25,0.24524918880454843,0.9301881647122989,0.21867692404970854,0.9511002444987775,0.9508900790550255
26,0.2545388763237624,0.9299154622307063,0.21107874672249652,0.9547677261613692,0.9549515070539399
27,0.24243720406110195,0.9353695118625579,0.22603955136243173,0.9364303178484108,0.9355651858524896
28,0.25331335808784133,0.9263703299700027,0.21702969340211314,0.9474327628361858,0.9472659627781497
29,0.24834257993315817,0.9323697845650395,0.21705180435716961,0.9486552567237164,0.9489359125184256
30,0.2527460953439651,0.928824652304336,0.21248683683155217,0.9547677261613692,0.9548416587951074
31,0.2588252864101455,0.9258249250068176,0.2182275082342199,0.9474327628361858,0.9471459160903901
32,0.23789690994488175,0.9386419416416689,0.21984092129763297,0.9498777506112469,0.9502428723131601
33,0.24645717886185367,0.9312789746386693,0.21163265447161891,0.9511002444987775,0.9512260116315919
34,0.24471505217504072,0.9359149168257431,0.21949271730222444,0.9547677261613692,0.9550972262338273
35,0.24303493864340583,0.9397327515680393,0.21198722512477183,0.9547677261613692,0.9548978712067613
36,0.24463304578201434,0.9285519498227434,0.21820436968197157,0.9474327628361858,0.9470618752830998
