epoch,train_loss,train_acc,val_loss,val_acc,val_f1,train_loss_cls,train_loss_aux,train_loss_div,train_loss_cons
1,0.3012130883658716,0.9010089991818926,0.09041138103546023,0.9706601466992665,0.9706987241718202,0.23551982712942343,0.3192754957549638,0.9186300115199124,0.0919080126074653
2,0.13590514945145163,0.9618216525770384,0.07846374842531816,0.969437652811736,0.9695255886532173,0.10315815298781225,0.15773535858741208,0.8607109226418478,0.059996207503239744
3,0.09920622420910963,0.9700027270248159,0.10167305760796029,0.9621026894865525,0.9623597186553179,0.07277088054622932,0.1256463864509891,0.8189421997169138,0.06530327869633547
4,0.06961144937010838,0.9822743386964822,0.07585095821009963,0.969437652811736,0.9695963472704892,0.04871762214944209,0.0991881658402603,0.7909741435643922,0.05280969732214717
5,0.052918823098117206,0.988273793291519,0.11141544499488326,0.9572127139364304,0.9575453135894388,0.03451475818832726,0.08642628587699079,0.765686585105405,0.055940377101594725
6,0.043022562298880046,0.9912735205890374,0.08545081494835391,0.9669926650366748,0.96712677541774,0.02689337684895578,0.07565808730905473,0.7454833887174079,0.049878388005790086
7,0.023532975531600463,0.9975456776656667,0.10334257699488676,0.9682151589242054,0.9680291960453835,0.010447347589176328,0.06072339410673932,0.7204858964166363,0.047047455602343025
8,0.03909795231383699,0.9926370329970002,0.26333190899223896,0.9278728606356969,0.9260367303756999,0.026023863930202347,0.06054533824917891,0.7024443803153443,0.048251031022513796
9,0.030829313882142266,0.9942732478865558,0.07725111906148126,0.9743276283618582,0.9743530844997964,0.019661931589602374,0.051814219481859054,0.6985335781589204,0.040226911861304206
10,0.024841952153903394,0.9953640578129261,0.09542310423083772,0.9718826405867971,0.9718920363720523,0.014837884546704804,0.04631951575698029,0.6798775934672401,0.03700820909331004
11,0.015629705218920792,0.9972729751840742,0.08773876570942649,0.9718826405867971,0.9719804112794572,0.00798740557793407,0.03548704881656875,0.6664782459221583,0.027244490809293673
12,0.007618438434958019,1.0,0.07655582309238501,0.9779951100244498,0.978009736353389,0.001988579184069614,0.025927559261568114,0.6526423714484055,0.02221736391761955
