epoch,train_loss,train_acc,val_loss,val_acc,val_f1,train_loss_cls,train_loss_aux,train_loss_div,train_loss_cons
1,0.43842054075755243,0.8922825197709299,0.11557327012342462,0.9718826405867971,0.97199688276326,0.32331319094386907,0.3144114571637473,0.898841819517418,0.0561414826625792
2,0.2808810763603535,0.9541859830924462,0.08601208257063093,0.9816625916870416,0.9817040900701232,0.21200695248660517,0.1655803767104288,0.8294195050857748,0.05223235781633435
3,0.243692949719022,0.9694573220616307,0.09035420297556226,0.9792176039119804,0.9792774002841876,0.1850692493440281,0.13365407615497746,0.7689142398656081,0.06298384180621129
4,0.23189268194754636,0.9743659667302973,0.09831951871915084,0.969437652811736,0.9692708814479012,0.17677187554706889,0.12264231622284102,0.7223851857115146,0.07760812944389996
5,0.20926744246437337,0.9820016362148896,0.08838929308801526,0.9767726161369193,0.9766989137856941,0.1603629171994586,0.10376498883756201,0.6760929365849866,0.08506337196886425
6,0.1963994247828188,0.9863648759203709,0.09792705834786292,0.9633251833740831,0.9632222862051713,0.15146874334690583,0.09189398580045118,0.636369298126641,0.0927019743368188
7,0.18707784281330925,0.9923643305154077,0.11350237926090259,0.9523227383863081,0.9522404568988845,0.14528169532318938,0.08339445980914387,0.5940033080371745,0.09795483579045913
8,0.18296116931434545,0.9912735205890374,0.10948102209890093,0.9498777506112469,0.9493101107295577,0.14298645428295256,0.07846532972950619,0.5717796697127647,0.09999044025370168
9,0.17262320463066372,0.9937278429233706,0.12487221198625553,0.941320293398533,0.9407333317996059,0.13647468178602862,0.06802747030555796,0.5403245240327997,0.09867581906965912
10,0.16839478561313853,0.9950913553313335,0.11572082848959855,0.9437652811735942,0.9431534274538659,0.13366820378762875,0.06437033899423047,0.5183643623597296,0.10096383738256066
