epoch,train_loss,train_acc,val_loss,val_acc,val_f1
1,0.30190144313886896,0.8991000818107445,0.2016361995912123,0.9596577017114915,0.9596440734949461
2,0.2215689808609767,0.9509135533133352,0.1739281305182534,0.9792176039119804,0.9792646354128064
3,0.20013269953549576,0.9656394873193346,0.1761996152202774,0.969437652811736,0.9695793023239767
4,0.18274650444996138,0.9710935369511863,0.16821692566999888,0.9755501222493888,0.9756564955069781
5,0.17009846148908317,0.9800927188437415,0.18403473878985221,0.9706601466992665,0.9708043630654453
6,0.169280469027468,0.9792746113989638,0.19602552070885823,0.9633251833740831,0.963564520433575
7,0.1563444280164392,0.9841832560676302,0.16400856450017914,0.9792176039119804,0.9792105833155783
8,0.15240652564601154,0.9874556858467413,0.16557192281435054,0.9779951100244498,0.9779951100244498
9,0.13781929878812088,0.9953640578129261,0.17226550267203222,0.9743276283618582,0.9743189558604202
10,0.13779217440392166,0.9942732478865558,0.16411691718258892,0.9731051344743277,0.973140497157502
11,0.137914286006495,0.9940005454049632,0.1743879377987682,0.9718826405867971,0.97199688276326
12,0.13173314341007933,0.996727570220889,0.162597008268087,0.9755501222493888,0.9755978135144671
13,0.12865277460210162,0.9983637851104445,0.16800036450761455,0.9743276283618582,0.9743530844997964
14,0.13133845508976336,0.9972729751840742,0.17666733308642885,0.969437652811736,0.969467957737853
15,0.12833358032488193,0.9978183801472593,0.17395702572789926,0.9718826405867971,0.9718920363720523
16,0.12720912672987678,0.9972729751840742,0.16689328109722557,0.9706601466992665,0.9707356069789552
17,0.12980336449859511,0.9972729751840742,0.17715850519813361,0.9682151589242054,0.9684225843757651
18,0.12375031249917168,1.0,0.1662779577203951,0.9755501222493888,0.9755501222493888
19,0.12181018511727879,1.0,0.1650797383709467,0.9743276283618582,0.9743362071223085
20,0.12198803705303747,1.0,0.17505698434298078,0.969437652811736,0.9695793023239767
