epoch,train_loss,train_acc,val_loss,val_acc,val_f1,train_loss_cls,train_loss_aux,train_loss_div,train_loss_cons
1,0.4399947779913965,0.8906463048813744,0.11830756833325971,0.9706601466992665,0.9707877946083737,0.3254258898905912,0.3126956718207576,0.898006317138932,0.05600115125539162
2,0.282390672373193,0.9544586855740387,0.08597091729308691,0.980440097799511,0.9804782508115737,0.21391326699427243,0.16446343971706393,0.8269205447728282,0.05199922582950877
3,0.24490159759737343,0.9700027270248159,0.0910317970480779,0.9767726161369193,0.976853383230856,0.1863602948572384,0.13347096355565408,0.7656552215541843,0.06373814405949102
4,0.23241204515054825,0.9757294791382601,0.0984286835148457,0.9718826405867971,0.9717510408403689,0.17747156549969453,0.12200849453499833,0.7200819880851193,0.07872581643054685
5,0.2103967549269681,0.9822743386964822,0.08747302932086376,0.9755501222493888,0.975463465811018,0.16150467073377744,0.10372664015674123,0.6732717927678391,0.08617309285751928
6,0.19736689929745,0.9858194709571857,0.09805422411061149,0.960880195599022,0.9607704386188494,0.15227289137818814,0.09239405889560846,0.6342742786376262,0.0938060651120598
7,0.18730992561534865,0.9904554131442597,0.11155732662797266,0.9523227383863081,0.9521714546127404,0.14558442315289394,0.08339246963654938,0.5892412354161377,0.09845871681701529
8,0.1839921321991129,0.990182710662667,0.11165793397643747,0.9486552567237164,0.9480507307335847,0.1439929042455446,0.0787305053357032,0.5658487762584328,0.10126200047701817
9,0.17259517960597814,0.9948186528497409,0.12530574906608294,0.9449877750611247,0.9445082797275027,0.13647231379565017,0.06821568966935888,0.5339376673017043,0.09958810805217883
10,0.16902195902621028,0.9961821652577039,0.11901557851755823,0.9449877750611247,0.9443151606419786,0.13418512120700707,0.06492452434677339,0.5122786405660621,0.10227812646413519
