epoch,train_loss,train_acc,val_loss,val_acc,val_f1,train_loss_cls,train_loss_aux,train_loss_div,train_loss_cons,train_loss_concat
1,0.41043557956883847,0.9100081810744478,0.09852276693728997,0.9621026894865525,0.9616734983564948,0.20906273488748747,0.4112009710208382,0.9499170328311385,0.16215507550008101,0.19828899544852938
2,0.18806299579413346,0.9612762476138533,0.057956860307376366,0.9779951100244498,0.9779005355747614,0.09591213736265597,0.1979130142662224,0.9162660929172995,0.0858979435835185,0.08937571944838035
3,0.1289893910431036,0.9781838014725934,0.07974043310321594,0.9657701711491442,0.9654862299067344,0.06515340310759397,0.1500943273891049,0.8886195625048228,0.0717015429063392,0.0601369244751795
4,0.10617143951533177,0.9814562312517043,0.05150208750530203,0.9767726161369193,0.9768802697662224,0.05246824493419906,0.12019380441081273,0.86244884394221,0.06218416957153688,0.05132746457939809
5,0.04219885596882055,0.9942732478865558,0.05122400835853225,0.9792176039119804,0.9792646354128064,0.019785266919180908,0.08532002464420373,0.8404745751809515,0.05517102590626711,0.01666234475378895
6,0.036731148964057735,0.9959094627761113,0.03963230315181438,0.9816625916870416,0.9816438060998928,0.016512938964840726,0.08185998174022321,0.8225355180986642,0.057154633857580045,0.01432583152723123
7,0.029210826842622786,0.996727570220889,0.08926731531968235,0.9633251833740831,0.9629899351675179,0.012399484521846782,0.07292867381606208,0.8047790869497492,0.05489663098678948,0.011211885220474935
8,0.021510099586305613,0.9978183801472593,0.06280957623373508,0.9743276283618582,0.9742833229455532,0.008591538329690264,0.0664358120365919,0.7978672598635171,0.05236837082169899,0.0071891200174289275
9,0.020357860360073116,0.9975456776656667,0.061939145216358536,0.969437652811736,0.9695439253037578,0.00802104868036564,0.06269188761967126,0.7894448642676098,0.05021996254252256,0.006956779017309154
10,0.017189896617004485,0.9980910826288519,0.0661109510836508,0.9718826405867971,0.9720129581380585,0.00662746451713385,0.058522524330932635,0.7829986824988019,0.04854599575105499,0.005280899526588192
11,0.0256809721204836,0.9970002727024816,0.05849301491631764,0.9792176039119804,0.9792245486228212,0.01076142740468153,0.05823348226081067,0.7670027960019701,0.04613495461656965,0.01079355855917634
12,0.014733121631464346,0.998636487592037,0.07489349272349465,0.969437652811736,0.9695963472704892,0.005620959756846629,0.05132098223700132,0.7611853885722154,0.042668366949484136,0.004441724853902646
13,0.005982981081203719,1.0,0.0600413820169915,0.9706601466992665,0.9708043630654453,0.0010836019611097799,0.041141831106017386,0.7480563531137794,0.0379011610633091,0.0005077304003356118
14,0.004616982144445083,1.0,0.05429290456149851,0.9767726161369193,0.976780377872565,0.0006017375623680071,0.03504035813885812,0.74480651882646,0.03301263661643189,0.00022635292600814807
